item,length,width,height
item0,496,240,370
item1,10,770,1168
item2,770,1168,10
item3,36,620,40
item4,250,620,470
item5,40,620,506
item6,1168,20,360
item7,548,90,30
item8,770,1168,450
item9,1168,186,360
item10,178,496,240
item11,506,280,60
item12,506,620,60
item13,30,548,10
item14,170,466,548
item15,70,548,30
item16,506,340,60
item17,520,210,36
item18,360,180,1168
item19,120,1150,360
item20,360,18,120
item21,36,100,210
item22,510,10,410
item23,1168,510,770
item24,10,38,410
