item,length,width,height
item0,25,50,1486
item1,1167,1306,68
item2,60,10,565
item3,390,1486,350
item4,485,60,10
item5,1486,15,80
item6,30,10,32
item7,80,75,290
item8,270,720,5
item9,30,150,1196
item10,120,120,40
item11,720,60,85
item12,570,40,40
item13,60,40,720
item14,60,190,10
item15,32,5,20
item16,50,20,1486
item17,32,100,50
item18,30,30,180
item19,180,138,1172
item20,175,10,150
item21,60,720,10
item22,80,720,20
item23,1486,50,12
item24,10,25,20
item25,80,10,290
item26,1486,10,400
item27,20,110,10
item28,720,20,345
item29,260,15,20
item30,25,720,20
item31,985,1486,80
item32,5,60,430
item33,20,55,490
item34,60,120,110
item35,20,10,350
item36,40,210,20
item37,60,80,285
item38,316,20,482
item39,812,556,10
item40,30,370,20
item41,60,50,720
item42,10,40,20
item43,10,60,150
item44,60,10,720
item45,720,15,530
item46,350,60,465
item47,60,490,90
item48,180,390,1486
item49,30,20,110
item50,30,180,10
item51,10,57,480
item52,1006,10,62
item53,270,715,10
item54,20,482,1170
item55,720,426,65
item56,10,60,720
item57,260,15,20
item58,390,50,10
item59,570,40,140
item60,5,1196,50
item61,930,20,1167
item62,70,15,20
item63,110,20,15
item64,365,60,470
item65,120,426,720
item66,1306,1172,70
item67,290,55,10
item68,40,250,20
item69,10,110,10
item70,25,720,140
item71,10,20,120
item72,60,30,720
item73,30,140,715
item74,10,715,40
item75,360,556,5
item76,10,390,10
item77,880,715,370
item78,180,15,20
item79,506,20,290
item80,60,720,10
item81,20,40,10
item82,10,1172,930
item83,180,105,30
item84,20,10,370
item85,860,20,290
item86,426,180,720
item87,95,20,290
item88,20,335,30
item89,12,80,1486
item90,1301,160,720
item91,420,1486,62
item92,62,50,1376
item93,20,10,110
item94,720,15,20
item95,556,1167,20
item96,1486,5,400
item97,15,120,110
item98,60,10,140
item99,1191,140,50
