item,length,width,height,x,y,z
item0,240,370,496,360,620,990
item1,770,1168,10,0,0,510
item2,770,1168,10,0,0,520
item3,40,620,36,610,0,1450
item4,250,620,470,400,0,980
item5,40,620,506,360,0,980
item6,360,1168,20,0,0,980
item7,90,548,30,670,620,990
item8,770,1168,450,0,0,530
item9,360,1168,186,0,0,1300
item10,240,178,496,360,990,990
item11,60,280,506,650,340,980
item12,60,620,506,710,0,980
item13,10,548,30,760,620,990
item14,170,548,466,600,620,1020
item15,70,548,30,600,620,990
item16,60,340,506,650,0,980
item17,210,520,36,400,0,1450
item18,360,1168,180,0,0,1000
item19,360,1150,120,0,0,1180
item20,360,18,120,0,1150,1180
item21,210,100,36,400,520,1450
item22,410,510,10,360,620,980
item23,770,1168,510,0,0,0
item24,410,38,10,360,1130,980
